skill_name,External_Sourcing,geo_group,city_ip,n_devs,n_devs_bi,n_accs,n_p2_devs,n_ntes,n_icfs,n_icfs_30,n_icfs_60,n_icfs_90,n_icfs_365,n_dcs,acc_days_median,p2_days_median,nte_days_median,icf_days_median,dc_days_median,hourly_rate_median,min_dev_skill_cost,max_dev_skill_cost,minCost_per_su,maxCost_per_su,su_to_icf_30_perc,su_to_icf_60_perc,su_to_icf_90_perc,su_to_icf_365_perc,rate_geo_median,city_tier,lat,lng
React,N,LATAM,Santiago,980,867,71,78,52,107,28,32,39,91,3,18.5,21.0,83.5,160.0,132.0,5.031818181818684,3104.2578879699495,4260.96296813818,3.1676100897652546,4.347921396059368,0.02857142857142857,0.0326530612244898,0.03979591836734694,0.09285714285714286,2.4460227272726494,1,-33.44889,-70.66927
React,N,LATAM,Fortaleza,929,819,58,62,37,81,26,30,36,69,3,107.0,80.0,116.0,121.0,138.0,3.078582954563698,3029.3749223988934,4064.1142345584362,3.2608987323992396,4.374719305229748,0.02798708288482239,0.03229278794402583,0.038751345532831,0.07427341227125941,2.4460227272726494,1,-3.71722,-38.54306
React,N,LATAM,Porto Alegre,777,691,73,70,43,88,25,29,34,77,2,71.0,47.5,76.0,132.0,185.5,3.4206477271815094,2842.516784156169,3763.9014114831884,3.6583227595317487,4.844145960724824,0.032175032175032175,0.03732303732303732,0.043758043758043756,0.0990990990990991,2.4460227272726494,1,-30.03283,-51.23019
React,N,LATAM,Recife,776,689,44,45,22,75,28,33,34,64,2,40.0,34.0,27.0,110.0,219.5,2.85053977281849,2321.330525880654,3084.4187899387516,2.991405316856513,3.9747664818798345,0.03608247422680412,0.04252577319587629,0.04381443298969072,0.08247422680412371,2.4460227272726494,1,-8.05389,-34.88111
React,N,LATAM,Mexico City,607,548,49,49,28,71,20,26,31,59,1,47.0,49.0,69.0,118.0,166.0,8.10312499997407,2330.1259692071935,3200.7341521206918,3.8387577746411754,5.273038141879229,0.032948929159802305,0.042833607907743,0.051070840197693576,0.09719934102141681,2.4460227272726494,1,19.42847,-99.12766
React,N,LATAM,Toronto,598,526,53,48,10,35,17,17,20,30,1,11.5,11.5,80.5,64.0,357.0,10.147921590872604,864.841652135894,1369.894006135201,1.4462234985550066,2.2907926524000017,0.028428093645484948,0.028428093645484948,0.033444816053511704,0.05016722408026756,2.4460227272726494,1,43.65322,-79.38318
React,N,LATAM,Guadalajara,547,510,51,53,29,65,16,21,24,55,0,29.0,18.0,51.0,151.0,,6.482499999979256,1746.8153206629054,2314.2773806640066,3.193446655690869,4.230854443627069,0.029250457038391225,0.038391224862888484,0.043875685557586835,0.10054844606946983,2.4460227272726494,1,20.67667,-103.3475
React,N,LATAM,Florianópolis,531,483,60,57,36,77,16,23,27,70,4,34.0,21.0,109.0,139.0,183.0,4.10477727281849,1742.4784225468081,2315.857218489493,3.281503620615458,4.36131302917042,0.030131826741996232,0.04331450094161959,0.05084745762711865,0.1318267419962335,2.4460227272726494,1,-27.59667,-48.54917
React,N,LATAM,Campinas,526,469,43,46,21,66,17,22,24,49,1,49.0,45.5,39.0,186.5,202.0,3.4206477271815094,2047.7466547848117,2693.1062175347347,3.8930544767772086,5.119973797594553,0.03231939163498099,0.04182509505703422,0.045627376425855515,0.09315589353612168,2.4460227272726494,1,-22.90556,-47.06083
React,N,LATAM,Quito,523,465,39,42,19,58,20,23,27,54,1,28.5,28.5,118.0,105.0,105.0,4.734848485,1813.8855803356878,2525.2709551115763,3.4682324671810476,4.8284339485881,0.03824091778202677,0.04397705544933078,0.05162523900573614,0.10325047801147227,2.4460227272726494,1,-0.22985,-78.52495
React,N,LATAM,San José,507,447,33,35,19,41,10,11,14,36,0,68.0,64.0,140.0,160.0,,5.264204545454377,2166.3646515507553,2890.095788420858,4.272908582940346,5.700386170455341,0.01972386587771203,0.021696252465483234,0.027613412228796843,0.07100591715976332,2.4460227272726494,1,9.93333,-84.08333
React,N,LATAM,Montevideo,500,445,38,42,22,45,8,13,15,37,0,55.5,38.0,89.0,196.0,,4.625919697041889,1850.3830834427624,2379.9103869057803,3.7007661668855247,4.759820773811561,0.016,0.026,0.03,0.074,2.4460227272726494,1,-34.90111,-56.16444
React,N,LATAM,Guatemala City,472,431,46,42,24,49,11,16,17,45,5,41.0,31.0,61.0,136.0,104.0,4.507208806772028,1908.4647222102628,2481.1289189153044,4.043357462309879,5.256629065498526,0.023305084745762712,0.03389830508474576,0.036016949152542374,0.09533898305084745,2.4460227272726494,1,14.64072,-90.51327
React,N,LATAM,Bogotá,3682,3315,246,243,126,364,109,135,161,303,4,53.0,43.0,81.0,129.0,209.5,2.2130681818181523,13682.370628237923,19143.324744950638,3.716015922932624,5.199164786787246,0.029603476371537207,0.03666485605649104,0.043726235741444866,0.08229223248234654,2.4460227272726494,2,4.60971,-74.08175
